
                                      CodeAnalysis - Version 1.4
    ==============================================================================================
     Wed Dec  6 23:30:46 2017
     Path: "C:\Users\trent\Desktop\Yuan Liu-project4"
     Args: *.h, *.cpp, *.cs, /v, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                             namespace                   Global Namespace       1       1     513

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                App.g.i.cs   namespace                                GUI      35      41       4
                App.g.i.cs       class                                App      41      35       3
                App.g.i.cs    function       DebuggerNonUserCodeAttribute      48      14       1
                App.g.i.cs    function                 STAThreadAttribute      69       5       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               App.xaml.cs   namespace                                GUI      11      24       6
               App.xaml.cs       class                                App      16      19       5
               App.xaml.cs    function                Application_Startup      20      13       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
          BlockingQueue.cs   namespace                            SWTools      49      91      17
          BlockingQueue.cs       class                      BlockingQueue      51      55      11
          BlockingQueue.cs    function                      BlockingQueue      58       3       1
          BlockingQueue.cs    function                                enQ      64       7       2
          BlockingQueue.cs    function                               lock      66       4       1
          BlockingQueue.cs    function                                deQ      77      12       3
          BlockingQueue.cs    function                               lock      80       8       2
          BlockingQueue.cs    function                               size      93       5       2
          BlockingQueue.cs    function                               lock      94       2       1
          BlockingQueue.cs    function                              clear     101       3       2
          BlockingQueue.cs    function                               lock     101       2       1
          BlockingQueue.cs       class                            Program     109      30       5
          BlockingQueue.cs    function                               Main     111      26       4
          BlockingQueue.cs   namespace                            SWTools      49      91      17
          BlockingQueue.cs       class                      BlockingQueue      51      55      11
          BlockingQueue.cs    function                      BlockingQueue      58       3       1
          BlockingQueue.cs    function                                enQ      64       7       2
          BlockingQueue.cs    function                               lock      66       4       1
          BlockingQueue.cs    function                                deQ      77      12       3
          BlockingQueue.cs    function                               lock      80       8       2
          BlockingQueue.cs    function                               size      93       5       2
          BlockingQueue.cs    function                               lock      94       2       1
          BlockingQueue.cs    function                              clear     101       3       2
          BlockingQueue.cs    function                               lock     101       2       1
          BlockingQueue.cs       class                            Program     109      30       5
          BlockingQueue.cs    function                               Main     111      26       4

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                Builder.cs   namespace                            Builder      54     203      31
                Builder.cs       class                            Builder      56     137      20
                Builder.cs    function                            Builder      66       8       1
                Builder.cs    function                           commTest      77      29       1
                Builder.cs    function                    BuilderLoopTest     109      12       2
                Builder.cs    function                        BuilderLoop     124      42       7
                Builder.cs    function                    postCloseTester     169       7       1
                Builder.cs    function                         cleanFiles     179       5       1
                Builder.cs    function                     getReadyThread     188       3       1
                Builder.cs       class                          SpawnProc     193      64      10
                Builder.cs    function                      createProcess     196      18       3
                Builder.cs    function                               Main     215      40       6

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
              ChildProc.cs   namespace                          ChildProc      60     338      54
              ChildProc.cs       class                          ChildComm      62     306      49
              ChildProc.cs    function                          ChildComm      82      21       1
              ChildProc.cs    function                              ready     106       8       1
              ChildProc.cs    function                        readyToRepo     117       8       1
              ChildProc.cs    function                          ChildLoop     128      33       7
              ChildProc.cs    function                        BuildCsproj     164      26       5
              ChildProc.cs    function                         FileLogger     169       1       1
              ChildProc.cs    function                   BuildRequestData     176       1       1
              ChildProc.cs    function                    sendTestRequest     193       8       1
              ChildProc.cs    function                        postDllFile     204       6       2
              ChildProc.cs    function                        postLogFile     213       3       1
              ChildProc.cs    function                 buildResultMessage     220      10       1
              ChildProc.cs    function                         tryToBuild     233      36       9
              ChildProc.cs    function                           findFile     272      13       3
              ChildProc.cs    function                   testStubFunction     288       5       1
              ChildProc.cs    function                         cleanFiles     296       5       1
              ChildProc.cs    function                           checkXml     305      30       5
              ChildProc.cs    function                           parseXml     338       8       1
              ChildProc.cs    function                       getFileNames     349       7       1
              ChildProc.cs    function                    getDllFileNames     359       7       1
              ChildProc.cs       class                          Childproc     368      30       4
              ChildProc.cs    function                               Main     370      26       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
   GeneratedInternalTypeHe   namespace             XamlGeneratedNamespace      11      51       8
